"","Session_ID","Video_ID","Colour_code","Condition","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visit_occurrence","Total_nr_display","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Total_copulation_nr","Co.display_total_duration_s_session","Co_disp_ord","Co_displ_occurrence","Co_disp_session","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Lek_hierarchy","Copulation_occurrence_successful","Copulation_occurrence","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Visits_longest_s","Session_nr"
"321","601_Fm2_a_Marginal","Lek3_2021_601_a","GO|LbY","Marginal",NA,"Fm2","a",601,27,"7a","1_Lek3_7a","1_Lek3",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"322","601_Fm2_m_Marginal","Lek3_2021_601_m","BlW|PP","Marginal",NA,"Fm2","m",601,27,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"323","601_Fm2_m_Marginal","Lek3_2021_601_m","GLb|GY","Marginal",NA,"Fm2","m",601,27,"7m","1_Lek3_7m","1_Lek3",2,416.578,7,1,6,0,0,0,0,7,0,2,12,2,32,19,7,7,0,7,0,NA,0,0,1705,0,0,0,0,0,0,0,0,1,2,1,1,27.56,33.34,NA,NA,NA,NA,NA,NA,138,1
"324","601_Fm2_m_Marginal","Lek3_2021_601_m","GO|LbY","Marginal",NA,"Fm2","m",601,27,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"325","602_Fm1_a_Marginal","Lek1_2021_602_a","DbLb|LbY","Marginal",NA,"Fm1","a",602,28,"7a","1_Lek1_7a","1_Lek1",2,220.278,7,1,6,1,0,0,0,8,1,1,1,2,10,10,9,8,0,9,0,NA,0,0,1665,0,0,0,0,0,0,0,0,1,1,1,1,32.73,51,NA,NA,NA,NA,NA,NA,42.8,1
"326","602_Fm1_a_Marginal","Lek1_2021_602_a","RG|LbDb","Marginal",NA,"Fm1","a",602,28,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"327","602_Fm1_a_Marginal","Lek1_2021_602_a","XO|XX","Marginal",NA,"Fm1","a",602,28,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"328","602_Fm1_m_Marginal","Lek1_2021_602_m","DbLb|LbY","Marginal",NA,"Fm1","m",602,28,"7m","1_Lek1_7m","1_Lek1",1,95.993,2,1,6,0,0,0,0,6,0,1,2,1,8,8,6,6,0,6,0,NA,0,0,1555,0,0,0,0,0,0,0,0,1,1,1,1,19.77,17.19,NA,NA,NA,NA,NA,NA,59.8,1
"329","602_Fm1_m_Marginal","Lek1_2021_602_m","RG|LbDb","Marginal",NA,"Fm1","m",602,28,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"330","602_Fm1_m_Marginal","Lek1_2021_602_m","XO|XX","Marginal",NA,"Fm1","m",602,28,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
