"","Colour_code","Condition","Week","Fm_ID","Combo_lek_week","Combo_lek","Session_nr","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visits_longest_s","Visit_occurrence","Total_nr_display","Combo_display_rank","Combo_co_disp_rank","Co_disp_score","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Mount_nr","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_total_duration_s_session2","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Co_displ_occurrence","Copulation_occurrence_successful","Copulation_occurrence","Co_disp_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Chasings_total","Chasings_res","Chasings_sat","Chasings_marg","Attacks_total","Attacks_res","Attacks_sat","Attacks_marg","Approaches","Fight_dur_s","Aggression_res_total","Aggression_sat_total","Aggression_total","Aggression_res_attack_approach","Aggression_attack_approach_total","Combo_lek_repeat"
"11","YO|OLB","Marginal","4","Fm2","2_Lek4_4","2_Lek4",3,6,438.201,9,228.8,3,18,1,1,0,0,0,0,0,3,0,0,4,3,3,3,0,0,3243,3449,0,0,0,0,0,0,1,1,0,76.42,132.09,37,27,0,10,5,4,0,1,2,5.08,33,0,44,6,7,1
"12","YO|OLB","Satellite","4","Fm2","2_Lek4_4","2_Lek4",3,4,955.04,12,690,2,18,1,1,5,0,0,0,0,0,0,0,3,0,0,0,188,3243,3243,1734,3,2,14.945,9,4099.452,3,0,0,3,43.21,53.27,46,31,15,0,3,0,3,0,13,27.363,44,18,62,13,16,1
"13","YO|OLB","Marginal","6","Fm2","2_Lek4_6","2_Lek4",3,6,2414.057,30,517.9,3,17,1,1,0,0,0,0,0,14,0,5,69,19,14,14,0,0,2902,5254,1,0,0,0,0,0,2,2,0,47.37,54.63,34,15,0,19,2,2,0,0,4,4.456,21,0,40,6,6,2
"14","YO|OLB","Satellite","6","Fm2","2_Lek4_6","2_Lek4",3,1,83.513,3,42.3,1,17,1,1,5,0,0,0,0,1,0,5,8,6,1,1,128,2902,2902,2286,5,0,0,5,4281.279,3,1,1,3,40.2275,38.435,37,35,2,0,1,1,0,0,5,6.359,41,2,43,6,6,2
"15","GO|LbY","Marginal","5","Fm1","3_Lek1_5","3_Lek1",3,2,286.74,7,161.3,2,18,1,1,0,0,0,0,0,5,0,0,9,5,5,5,0,0,2540,5266,0,0,0,0,0,0,2,2,0,119.13,132.79,40,21,0,19,0,0,0,0,5,7.321,26,0,45,5,5,2
"16","GO|LbY","Satellite","5","Fm1","3_Lek1_5","3_Lek1",3,8,805.852,16,277.8,3,17,1,1,4,0,0,0,1,0,1,0,4,1,1,0,152,2540,2540,2534,3,4,57.999,6,4897.754,3,0,1,3,47.7433333333333,39.86,59,59,0,0,2,2,0,0,7,17.16,68,0,68,9,9,2
"17","ODb|YDb","Marginal","3","Fm2","3_Lek3_3","3_Lek3",3,6,1106.533,24,470.6,2,18,1,1,0,0,0,0,0,6,0,1,29,7,6,6,0,0,2113,4731,0,0,0,0,0,0,2,2,0,78.61,65.27,46,44,0,3,3,2,0,1,1,0.12,47,0,50,3,4,1
"18","ODb|YDb","Satellite","3","Fm2","3_Lek3_3","3_Lek3",3,3,1071.374,12,511.8,2,14,1,1,4,0,0,0,0,0,0,0,2,0,0,0,46,2113,2113,1187,13,0,0,7,2583.805,2,0,0,3,48.3225,50.6225,20,12,8,0,4,1,3,0,6,8.52,19,11,30,7,10,1
"19","GLb|GY","Satellite","5","Fm1","3_Lek2_5","3_Lek2",3,9,1270.825,38,314.5,3,18,2,1,2,0,2,0,6,27,8,3,55,38,35,27,80,1974,1974,2918,16,1,20.251,6,3165.492,3,3,3,3,76.7525,70.3025,18,18,0,0,1,1,0,0,20,34.697,39,0,39,21,21,2
"20","GLb|GY","Marginal","5","Fm1","3_Lek2_5","3_Lek2",3,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,4148,0,0,0,0,0,0,0,0,0,141.55,175.64,2,2,0,0,0,0,0,0,2,4.08,4,0,4,2,2,2
