"","X","Session_ID","Video_ID","Colour_code","State","Condition","Bird_desc","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_nr_all_females","Visit_occurrence","Total_visit_duration_all_females","Total_nr_display","Total_nr_display_with_Sat","Total_nr_display_Res_ind","Total_nr_display_Sat_ind","Display_percentage","Female_cop_max_id","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Copulation_occurrence_successful","Copulation_occurrence","Total_successful_copulations","Total_copulation_nr","Total_copulation_occurrence","Total_nr_display_30","Visits_longest_s","Lek_hierarchy","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_duration_mean_s_session","Co.display_duration_std_dev_session","Single_display_total_nr_session","Single_display_total_duration_s_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_female_total_nr_session","Single_display_to_female_total_duration_s_session","Single_display_to_female_duration_mean_s_session","Single_display_to_female_duration_std_dev_session","Single_display_to_satellite_total_nr_session","Single_display_to_satellite_total_duration_s_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Aggression_total","Fight_dur_s","Subject","Behavior"
"426",426,"529_Fm2_a_Satellite","Lek4_2021_529_a","DbLb|LbY","Unpaired","Satellite","black/red face",NA,"Fm2","a",529,24,"6","2_Lek4_6","2_Lek4",0,0,0,0,5,5,1,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,2,0.36,NA,NA
"427",427,"529_Fm2_a_Satellite","Lek4_2021_529_a","GO|LbY","Paired","Satellite","Grey Tiger",NA,"Fm2","a",529,24,"6","2_Lek4_6","2_Lek4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,3,50,17,11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"428",428,"529_Fm2_a_Satellite","Lek4_2021_529_a","GO|LbY","Unpaired","Satellite","Grey Tiger",NA,"Fm2","a",529,24,"6","2_Lek4_6","2_Lek4",0,0,0,0,2,2,1,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,2,0,NA,NA
"429",429,"529_Fm2_a_Satellite","Lek4_2021_529_a","YO|OLB","Paired","Satellite","black/beige",NA,"Fm2","a",529,24,"6","2_Lek4_6","2_Lek4",0,0,0,0,2,4,1,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,0,1,50,1177,30,18.03,46,467,10.68,9.13,46,467.403,10.68,9.13,NA,NA,NA,NA,NA,NA,NA,NA,1,1698.373,1698.37,NA,NA,NA,NA,1,NA,NA,NA,NA
"430",430,"529_Fm2_a_Satellite","Lek4_2021_529_a","YO|OLB","Unpaired","Satellite","black/beige",NA,"Fm2","a",529,24,"6","2_Lek4_6","2_Lek4",1,3,1,83.513,4,4,0,0,66.7,1,0,0,0,0,1,0,1,5,1,8,6,1,1,1,1,1,1,1,42.3,1,NA,NA,NA,NA,6,98,16.41,6.37,6,97.551,16.41,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,15,6.199,NA,NA
"431",431,"529_Fm2_m_Marginal","Lek3_2021_529_m","DbLb|DbP","Unpaired","Marginal","black/beige",NA,"Fm2","m",529,24,"6","2_Lek3_6","2_Lek3",2,14,1,1069.864,6,6,1,NA,100,2,0,0,0,0,2,0,2,2,2,42,4,2,1,1,2,2,1,3,359.3,1,NA,NA,NA,NA,137,1525,11.33,10.28,137,1524.861,11.33,10.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,52,2.04,NA,NA
"432",432,"529_Fm2_m_Marginal","Lek3_2021_529_m","DbLb|OY","Unpaired","Marginal","Brown/white",NA,"Fm2","m",529,24,"6","2_Lek3_6","2_Lek3",2,9,1,254.187,6,6,1,0,100,2,0,0,0,0,5,0,1,3,2,12,8,5,1,1,5,5,1,3,106.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,14,4.159,NA,NA
"433",433,"529_Fm2_m_Marginal","Lek3_2021_529_m","ODb|YDb","Unpaired","Marginal","Black/gray",NA,"Fm2","m",529,24,"6","2_Lek3_6","2_Lek3",0,0,0,0,5,5,1,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,NA,NA,NA,NA,91,1576,18.78,11.985,89,1538.243,18.84,18.27,2,37.434,18.72,5.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,4,0.84,NA,NA
"434",434,"530_Fm1_a_Satellite","Lek1_2021_530_a","DbLb|LbY","Paired","Satellite","black/red face",NA,"Fm1","a",530,25,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,3,6,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,1,28,670,25,31.12,39,951,27.37,24.7,39,950.54,27.37,24.7,NA,NA,NA,NA,NA,NA,NA,NA,1,1661.803,1661.8,NA,NA,NA,NA,0,NA,NA,NA,NA
"435",435,"530_Fm1_a_Satellite","Lek1_2021_530_a","DbLb|LbY","Unpaired","Satellite","black/red face",NA,"Fm1","a",530,25,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,3,3,0,NA,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,NA,NA,NA,NA,3,138,36.38,38.54,3,138.25,36.38,38.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,58.843,1,0,15,0,NA,NA
